PID: 0 | Name: System Idle Process
PID: 4 | Name: System
PID: 236 | Name: 
PID: 280 | Name: Registry
PID: 452 | Name: wps.exe
PID: 808 | Name: svchost.exe
PID: 820 | Name: smss.exe
PID: 1012 | Name: csrss.exe
PID: 1108 | Name: svchost.exe
PID: 1116 | Name: wininit.exe
PID: 1124 | Name: csrss.exe
PID: 1204 | Name: services.exe
PID: 1232 | Name: winlogon.exe
PID: 1256 | Name: LsaIso.exe
PID: 1276 | Name: lsass.exe
PID: 1324 | Name: uv.exe
PID: 1424 | Name: SearchIndexer.exe
PID: 1448 | Name: svchost.exe
PID: 1480 | Name: WUDFHost.exe
PID: 1500 | Name: fontdrvhost.exe
PID: 1504 | Name: fontdrvhost.exe
PID: 1616 | Name: svchost.exe
PID: 1664 | Name: svchost.exe
PID: 1912 | Name: node.exe
PID: 1968 | Name: svchost.exe
PID: 1976 | Name: svchost.exe
PID: 2016 | Name: Weixin.exe
PID: 2020 | Name: svchost.exe
PID: 2128 | Name: svchost.exe
PID: 2136 | Name: svchost.exe
PID: 2164 | Name: svchost.exe
PID: 2180 | Name: svchost.exe
PID: 2188 | Name: svchost.exe
PID: 2212 | Name: explorer.exe
PID: 2304 | Name: svchost.exe
PID: 2384 | Name: svchost.exe
PID: 2392 | Name: svchost.exe
PID: 2412 | Name: GroupyHelp32.exe
PID: 2476 | Name: WeFlow.exe
PID: 2568 | Name: SearchHost.exe
PID: 2688 | Name: ApplicationFrameHost.exe
PID: 2828 | Name: svchost.exe
PID: 2836 | Name: svchost.exe
PID: 2840 | Name: svchost.exe
PID: 3036 | Name: dasHost.exe
PID: 3064 | Name: Weixin.exe
PID: 3100 | Name: svchost.exe
PID: 3112 | Name: VirtualDesktop.Streamer.exe
PID: 3132 | Name: svchost.exe
PID: 3196 | Name: wps.exe
PID: 3208 | Name: NVDisplay.Container.exe
PID: 3240 | Name: svchost.exe
PID: 3284 | Name: svchost.exe
PID: 3324 | Name: svchost.exe
PID: 3396 | Name: svchost.exe
PID: 3404 | Name: svchost.exe
PID: 3412 | Name: svchost.exe
PID: 3420 | Name: svchost.exe
PID: 3480 | Name: Widgets.exe
PID: 3512 | Name: svchost.exe
PID: 3520 | Name: svchost.exe
PID: 3564 | Name: cmd.exe
PID: 3584 | Name: MemCompression
PID: 3652 | Name: svchost.exe
PID: 3716 | Name: Weixin.exe
PID: 3720 | Name: WeChatAppEx.exe
PID: 3748 | Name: GroupySrv.exe
PID: 3756 | Name: SbieSvc.exe
PID: 4076 | Name: cmd.exe
PID: 4092 | Name: svchost.exe
PID: 4104 | Name: svchost.exe
PID: 4128 | Name: svchost.exe
PID: 4164 | Name: svchost.exe
PID: 4248 | Name: svchost.exe
PID: 4320 | Name: Weixin.exe
PID: 4348 | Name: node.exe
PID: 4360 | Name: svchost.exe
PID: 4368 | Name: svchost.exe
PID: 4472 | Name: WidgetService.exe
PID: 4544 | Name: SecurityHealthService.exe
PID: 4612 | Name: WeFlow.exe
PID: 4736 | Name: NVDisplay.Container.exe
PID: 4864 | Name: conhost.exe
PID: 4944 | Name: svchost.exe
PID: 4992 | Name: Cherry Studio.exe
PID: 5076 | Name: wallpaper32.exe
PID: 5220 | Name: conhost.exe
PID: 5372 | Name: svchost.exe
PID: 5392 | Name: svchost.exe
PID: 5468 | Name: WeChatAppEx.exe
PID: 5712 | Name: GroupyHelp64.exe
PID: 5736 | Name: WeFlow.exe
PID: 5944 | Name: conhost.exe
PID: 6008 | Name: Weixin.exe
PID: 6040 | Name: sihost.exe
PID: 6112 | Name: svchost.exe
PID: 6156 | Name: svchost.exe
PID: 6224 | Name: svchost.exe
PID: 6236 | Name: GroupyCtrl.exe
PID: 6272 | Name: tiez-app.exe
PID: 6384 | Name: svchost.exe
PID: 6396 | Name: svchost.exe
PID: 6448 | Name: svchost.exe
PID: 6464 | Name: svchost.exe
PID: 6648 | Name: rundll32.exe
PID: 6700 | Name: Timer Widget.exe
PID: 6740 | Name: svchost.exe
PID: 6816 | Name: svchost.exe
PID: 6840 | Name: msedge.exe
PID: 6864 | Name: svchost.exe
PID: 6888 | Name: svchost.exe
PID: 6940 | Name: svchost.exe
PID: 6948 | Name: svchost.exe
PID: 6980 | Name: taskhostw.exe
PID: 7112 | Name: steamwebhelper.exe
PID: 7236 | Name: spoolsv.exe
PID: 7244 | Name: explorer.exe
PID: 7376 | Name: svchost.exe
PID: 7448 | Name: StartMenuExperienceHost.exe
PID: 7552 | Name: clash-verge-service.exe
PID: 7560 | Name: svchost.exe
PID: 7568 | Name: svchost.exe
PID: 7600 | Name: FeverGamesService.exe
PID: 7612 | Name: AlibabaProtect.exe
PID: 7620 | Name: svchost.exe
PID: 7628 | Name: svchost.exe
PID: 7636 | Name: svchost.exe
PID: 7644 | Name: svchost.exe
PID: 7660 | Name: pg_ctl.exe
PID: 7668 | Name: svchost.exe
PID: 7676 | Name: svchost.exe
PID: 7700 | Name: memurai.exe
PID: 7712 | Name: wetype_service.exe
PID: 7724 | Name: ssh-agent.exe
PID: 7732 | Name: wallpaperservice32.exe
PID: 7744 | Name: wslservice.exe
PID: 7752 | Name: ibtsiva.exe
PID: 7852 | Name: VirtualDesktop.Service.exe
PID: 7860 | Name: WMIRegistrationService.exe
PID: 7864 | Name: jhi_service.exe
PID: 7876 | Name: GameViewerService.exe
PID: 7896 | Name: RstMwService.exe
PID: 7920 | Name: cpolar.exe
PID: 7928 | Name: PowerToys.exe
PID: 7936 | Name: MuseAuthService.exe
PID: 7996 | Name: cowork-svc.exe
PID: 8012 | Name: MSPCManagerService.exe
PID: 8052 | Name: crashpad_handler.exe
PID: 8268 | Name: msedgewebview2.exe
PID: 8340 | Name: WeChatAppEx.exe
PID: 8656 | Name: wetype_server.exe
PID: 8684 | Name: svchost.exe
PID: 8756 | Name: camoufox.exe
PID: 8964 | Name: WeChatAppEx.exe
